brand,model,price,fuel,transmission,km,year,location
Volkswagen,Golf Business 1.0 TSI 85 kW (115 CV),17500.0,Gasolina,Manual,25420.0,2019,Málaga
Volkswagen,T-Cross Advance 1.0 TSI 85 kW (115 CV) DSG,21250.0,Gasolina,Automático,2221.0,2020,Barcelona
Volkswagen,Crafter Batalla Media TN 2.0 TDI 75 kW (102 CV) 3.000,23900.0,Diésel,Manual,21500.0,2019,Barcelona
Volkswagen,Caddy Maxi Trendline 2.0 TDI BMT 75 kW (102 CV),19900.0,Diésel,Manual,10713.0,2019,Barcelona
Volkswagen,Caddy Maxi Trendline 2.0 TDI BMT 75 kW (102 CV),19900.0,Diésel,Manual,10502.0,2019,Barcelona
Volkswagen,Golf Sport 1.5 TSI Evo 110 kW (150 CV) DSG,26400.0,Gasolina,Automático,1000.0,2019,Barcelona
Seat,Tarraco 2.0 TDI S&S Xcellence 4Drive DSG 140 kW (190 CV),31900.0,Diésel,Automático,16241.0,2019,Madrid
Seat,Tarraco 2.0 TDI S&S Xcellence 4Drive DSG 140 kW (190 CV),31900.0,Diésel,Automático,22136.0,2019,Madrid
Seat,Tarraco 2.0 TDI S&S Xcellence 4Drive DSG 140 kW (190 CV),31900.0,Diésel,Automático,16111.0,2019,Madrid
Seat,Arona 1.0 TSI Ecomotive FR 85 kW (115 CV),17500.0,Gasolina,Manual,20360.0,2019,Madrid
Seat,Arona 1.0 TSI Ecomotive FR 85 kW (115 CV),17500.0,Gasolina,Manual,21476.0,2019,Madrid
Seat,Ateca 2.0 TDI S&S Xcellence DSG 110 kW (150 CV),26500.0,Diésel,Automático,13074.0,2020,Madrid
Volkswagen,Sharan Advance 2.0 TDI 110 kW (150 CV) DSG,30900.0,Diésel,Automático,16466.0,2019,Barcelona
Skoda,Fabia 1.0 TSI Monte Carlo DSG 81 kW (110 CV),13500.0,Gasolina,Automático,30920.0,2019,Barcelona
BMW,X4 xDrive20d 140 kW (190 CV),35900.0,Diésel,Automático,59769.0,2017,Madrid
MINI,Mini Cooper SE 135 kW (184 CV),31500.0,Eléctrico,Automático,730.0,2020,Madrid
Volkswagen,Crafter Batalla Media TN 2.0 TDI 103 kW (140 CV) 3.000,31000.0,Diésel,Manual,25.0,2020,Valencia
BMW,220 Gran Coupé d 140 kW (190 CV),39500.0,Diésel,Automático,1800.0,2020,Huelva
Ford,C-MAX 1.0 EcoBoost 92kW 125CV Trend,12900.0,Gasolina,Manual,40000.0,2018,Madrid
Ford,Focus 1.5 Ecoblue 88kW Trend+,18050.0,Diésel,Manual,22000.0,2020,Madrid
Lexus, RX450h L Executive,67284.0,Híbrido,Automático,30.0,2021,Madrid
Nissan,LEAF 24kWh Acenta,10900.0,Eléctrico,Automático,48000.0,2016,Málaga
Nissan,Qashqai 1.7 dCi 150cv N-Connecta,25900.0,Diésel,Manual,17000.0,2020,Málaga
Nissan,Micra 1.5dCi VISIA+,12500.0,Diésel,Manual,21000.0,2019,Málaga
Nissan,Qashqai 1.3 DIG-T 140cv E6D N-Connecta,21200.0,Gasolina,Manual,15000.0,2019,Málaga
Nissan,Micra IG-T 66 kW (90 CV) S&S Visia+,10500.0,Gasolina,Manual,29000.0,2018,Málaga
Nissan,Micra IG-T 66 kW (90 CV) S&S Visia+,11500.0,Gasolina,Manual,14000.0,2018,Málaga
Kia,Ceed 1.4 CRDi WGT 90cv Drive,13900.0,Diésel,Manual,32000.0,2018,Asturias
Ford,Fiesta 1.0 EcoBoost 74kW STLine SS 3p,11900.0,Gasolina,Manual,51916.0,2018,Valencia
Renault,Megane 1.5 dCi 115cv Limited Energy,14500.0,Diésel,Manual,8125.0,2020,Vizcaya
Renault,Megane 1.5 Blue dCi 115cv Zen,17200.0,Diésel,Manual,5916.0,2020,Vizcaya
Mazda,CX-5 2.0 Skyactiv-G Zenith White 2WD 121kW Zenith White,31500.0,Gasolina,Manual,13638.0,2019,Burgos
Ford,EcoSport 1.0T EcoBoost 92kW 125CV SS Titanium,14900.0,Gasolina,Manual,25920.0,2019,Madrid
Ford,EcoSport 1.0L EcoBoost 103kW 140CV SS S Line,13900.0,Gasolina,Manual,38150.0,2018,Madrid
Opel,Mokka X X 1.4T S&S Selective 4x2 Selective,13990.0,Gasolina,Manual,31000.0,2019,Ávila
Peugeot,508 SW 1.6 PureTech S&S GT Line EAT8 180 GT Line,32900.0,Gasolina,Automático,15000.0,2019,Vizcaya
Fiat,Punto POP,6900.0,Gasolina,Manual,48200.0,2016,La Coruña
Opel,Astra 1.2T S/S Edition 110 Edition,15490.0,Gasolina,Manual,5.0,2021,Ávila
Hyundai,i30 ESSENCE,16950.0,Gasolina,Manual,33.0,2020,Baleares
Opel,Astra 1.2T S/S GS Line 130 GS Line,17900.0,Gasolina,Manual,5.0,2021,Ávila
Opel,Astra ,16990.0,Gasolina,Manual,5.0,2021,Ávila
Hyundai,i30 TECNO,18990.0,Gasolina,Manual,29.0,2020,Baleares
Hyundai,IONIQ EV TECNO,27850.0,Eléctrico,Automático,267.0,2020,Baleares
Hyundai,Tucson 1.6CRDI 48V SLE 4x2 SLE,23990.0,Diésel,Manual,6000.0,2020,Ávila
Seat,Ibiza 1.0 MPI 59KW STYLE PLUS 5P,12900.0,Gasolina,Manual,9886.0,2019,Barcelona
Renault,Kangoo Z.E.,24750.0,Eléctrico,Automático,920.0,2020,Málaga
Skoda,Spaceback 1.0 TSI 95cv Ambition,13200.0,Gasolina,Manual,25301.0,2019,Málaga
Ford,Transit Kombi 1.5 TDCi 100cv Ambiente 220 L1,13970.0,Diésel,Manual,31195.0,2017,Málaga
Hyundai,i20 1.0 TGDI Essence LE 100 Essence LE,10700.0,Gasolina,Manual,31800.0,2019,Ávila
Fiat,500 1.0 GSE S S,12800.0,Gasolina,Manual,3220.0,2020,Ávila
Toyota,Proace Verso 2.0D 180cv AT 7P  Vip Largo (L2),40900.0,Diésel,Automático,46500.0,2018,Asturias
Toyota,RAV4 Hybrid 220H Automático 4x2 Advance,32900.0,Híbrido,Automático,500.0,2020,Asturias
Toyota,RAV4 Hybrid 220H Automático 4x2 Luxury,36900.0,Híbrido,Automático,23100.0,2019,Asturias
Toyota,Corolla 1.8 125cv E-CVT Active Tech,18900.0,Híbrido,Automático,14156.0,2019,Asturias
Toyota,Corolla 1.8 125cv E-CVT Active Tech,18500.0,Híbrido,Automático,29500.0,2019,Asturias
Toyota,Corolla 1.8 125cv E-CVT Active Tech,18500.0,Híbrido,Automático,19000.0,2019,Asturias
Toyota,Corolla 1.8 125cv E-CVT Active Tech,18500.0,Híbrido,Automático,18500.0,2019,Asturias
Toyota,Camry 2.5 220H Business,30800.0,Híbrido,Automático,12500.0,2020,Valladolid
Nissan,Qashqai 1.3 DIG-T 140cv E6D N-Connecta,21000.0,Gasolina,Manual,17500.0,2019,Vizcaya
Toyota,Yaris 1.5 Hybrid Active,13300.0,Híbrido,Automático,39950.0,2016,Valencia
Nissan,Qashqai dCi 96 kW 130 CV NCONNECTA,20895.0,Diésel,Manual,19100.0,2018,Valencia
Renault,Scenic 1.7 BLUE DCI ZEN 110KW 5P,22390.0,Diésel,Manual,32006.0,2019,Madrid
Renault,Megane 1.5 BLUE DCI ZEN EDC 85KW 5P,18890.0,Diésel,Automático,28029.0,2019,Madrid
Renault,Clio 1.0 TCE 74KW ZEN 5P,16390.0,Gasolina,Manual,14982.0,2020,Madrid
Renault,Captur 1.6 E-TECH 117KW SL EDITION PLUG IN 5P,30490.0,Eléctrico,Automático,10.0,2020,Madrid
Renault,Captur 1.6 E-TECH 117KW SL EDITION PLUG IN 5P,30490.0,Eléctrico,Automático,10.0,2020,Madrid
Renault,Captur 1.6 E-TECH 117KW ZEN PLUG IN 5P,29990.0,Eléctrico,Automático,10.0,2020,Madrid
Renault,Captur 1.6 E-TECH 117KW ZEN PLUG IN 5P,28990.0,Eléctrico,Automático,10.0,2020,Madrid
Renault,Grand Scenic 1.5 DCI 110 ENERGY LIMITED ECO2 7STR E6 5P 7 Plazas,13290.0,Diésel,Manual,66737.0,2016,Madrid
Renault,Captur 1.5 DCI BLUE 70KW INTENS 5P,19490.0,Diésel,Manual,4777.0,2020,Madrid
Jaguar,E-Pace 2.0 D 110KW 150 5P,35900.0,Diésel,Manual,10.0,2020,Cádiz
Mercedes-Benz,C 220 2.1 D 170 2P,37900.0,Diésel,Automático,17239.0,2019,Murcia
Toyota,Proace City 1.5D 75KW GX SWB 102 4P,18200.0,Diésel,Manual,14500.0,2020,Murcia
Toyota,Corolla 1.8 HYBRID ACTIVE TECH E-CVT 122 5P,19900.0,Híbrido,Automático,8018.0,2020,Murcia
Renault,Kangoo 1.5 DCI 55KW PROFESIONAL 75 3P,13400.0,Diésel,Manual,20089.0,2019,Baleares
Renault,Captur 1.0 TCE 74KW ZEN 100 5P,21290.0,Gasolina,Manual,5.0,2020,Baleares
Renault,Megane 1.3 TCE ZEN 103KW 5P,16350.0,Gasolina,Manual,15734.0,2019,Baleares
Renault,Captur 1.6 E-TECH 117KW ZEN PLUG IN 160 5P,29500.0,Híbrido,Automático,5.0,2020,Baleares
Renault,Captur 1.6 E-TECH 117KW ZEN PLUG IN 160 5P,29600.0,Híbrido,Automático,5.0,2020,Baleares
Renault,Captur 1.6 E-TECH 117KW ZEN PLUG IN 160 5P,29300.0,Híbrido,Automático,5.0,2020,Baleares
Renault,Captur 1.0 TCE 74KW ZEN 100 5P,21150.0,Gasolina,Manual,5.0,2020,Baleares
Renault,Grand Scenic Grand Scénic 1.3 TCe Zen EDC 103kW 5P,18500.0,Gasolina,Automático,37714.0,2018,Baleares
Renault,Clio Clio Clio TCe GPF Intens 74kW,12900.0,Gasolina,Manual,10000.0,2019,Navarra
Volkswagen,Touran Advance 2.0 TDI 85kW (115CV) DSG,27990.0,Diésel,Automático,9666.0,2020,Lugo
Volkswagen,T-Cross Advance 1.0 TSI 70kW (95CV),18990.0,Gasolina,Manual,7459.0,2020,Lugo
Volkswagen,Touran Advance 2.0 TDI 85kW (115CV) DSG,27990.0,Diésel,Automático,9666.0,2020,Orense
Volkswagen,Passat R-Line 2.0 TDI 110kW (150CV),32990.0,Diésel,Manual,10106.0,2020,Lugo
Volkswagen,T-Cross Advance 1.0 TSI 70kW (95CV),18990.0,Gasolina,Manual,7459.0,2020,Orense
Volkswagen,Passat R-Line 2.0 TDI 110kW (150CV),32990.0,Diésel,Manual,10106.0,2020,Orense
Opel,Astra 1.0 TURBO 120 ANIVERSARIO S,16490.0,Gasolina,Manual,17310.0,2019,Madrid
Hyundai,IONIQ EV 1.6 GDI HEV KLASS DCT 141 5P,17490.0,Gasolina,Automático,52223.0,2019,Madrid
Kia,Carens 1.6 GDI CONCEPT 135 5P,15790.0,Gasolina,Manual,38840.0,2018,Madrid
Mitsubishi,Outlander 2.0 PHEV KAITEKI AUTO 4WD 203 5P,24500.0,Eléctrico,Automático,79669.0,2017,Madrid
Seat,Arona 1.6 TDI 85kW (115CV) Style Ecomotive,17990.0,Diésel,Manual,21281.0,2019,Orense
Seat,Arona 1.6 TDI 85kW (115CV) Style Ecomotive,17990.0,Diésel,Manual,14982.0,2019,Orense
Seat,Arona 1.6 TDI 85kW (115CV) Style Ecomotive,17990.0,Diésel,Manual,16440.0,2019,Orense
Seat,Arona 1.6 TDI 85kW (115CV) Style Ecomotive,17990.0,Diésel,Manual,18141.0,2019,Orense
Seat,Arona 1.6 TDI 85kW (115CV) Style Ecomotive,17990.0,Diésel,Manual,23204.0,2019,Orense
Jaguar,E-Pace 2.0D 110kW,27990.0,Diésel,Manual,59819.0,2018,Barcelona
Mercedes-Benz,CLA 200 Shooting Brake Shooting Brake,37900.0,Gasolina,Automático,178670.0,2020,Lugo
Jaguar,E-Pace 2.0D 110kW,27990.0,Diésel,Manual,59819.0,2018,Barcelona
Skoda,Fabia 1.0 MPI Ambition 44 kW (60 CV),10990.0,Gasolina,Manual,2738.0,2020,Cádiz
Volkswagen,Golf Advance 1.6 TDI 85 kW (115 CV) DSG,18200.0,Diésel,Automático,13254.0,2019,Madrid
Peugeot,3008 BlueHDI 130 S&S GT Line 96 kW (130 CV),25900.0,Diésel,Manual,34257.0,2018,Barcelona
Citroen,Jumper Furgon BlueHDi 140 35 L3H2 103 kW (140 CV),22900.0,Diésel,Manual,2000.0,2020,La Rioja
Volkswagen,Touran Touran 2.0TDI CR BMT Advance 85kW,26700.0,Diésel,Manual,3951.0,2020,Córdoba
Seat," 1.0 EcoTSI S&,S Style 115",17900.0,Gasolina,Manual,3517.0,2019,Córdoba
Porsche,911 Carrera 4 GTS Cabriolet PDK,119000.0,Gasolina,Automático,23250.0,2018,Córdoba
Audi,A4 A4 2.0TDI S line edition 150,21900.0,Diésel,Manual,58568.0,2016,Córdoba
Audi,A3 A3 Sportback 1.6TDI S Line Edition 116,28900.0,Diésel,Manual,8478.0,2020,Córdoba
Volkswagen,Caddy Maxi Trendline 2.0 TDI 75kW (102CV) BMT,20000.0,Diésel,Manual,11500.0,2019,Guipúzcoa
Audi,A1 Sportback S line 30 TFSI 85kW S tronic,24900.0,Gasolina,Automático,11200.0,2020,Guipúzcoa
Audi,A1 Sportback Black line 30 TFSI 85kW,23400.0,Gasolina,Manual,16400.0,2020,Guipúzcoa
Audi,A1 Sportback Black line 30 TFSI 85kW,23400.0,Gasolina,Manual,10200.0,2020,Guipúzcoa
Audi,A1 Sportback Black line 30 TFSI 85kW,23400.0,Gasolina,Manual,16600.0,2020,Guipúzcoa
Audi,A1 Sportback Black line 30 TFSI 85kW,23300.0,Gasolina,Manual,10700.0,2020,Guipúzcoa
Audi,Q2 Sport 35 TDI 110kW (150CV) S tronic,31300.0,Diésel,Automático,15600.0,2020,Guipúzcoa
Abarth,500 ABARTH 595   SCORPIONE ORO 165CV,24100.0,Gasolina,Manual,500.0,2020,Madrid
Volkswagen,Touran Touran 2.0TDI CR BMT Advance 85kW,26700.0,Diésel,Manual,3951.0,2020,Málaga
Seat," 1.0 EcoTSI S&,S Style 115",17900.0,Gasolina,Manual,3517.0,2019,Málaga
Porsche,911 Carrera 4 GTS Cabriolet PDK,119000.0,Gasolina,Automático,23250.0,2018,Málaga
MINI,Cooper D Clubman Cooper D,16900.0,Diésel,Manual,55123.0,2016,Granada
Audi,A4 A4 2.0TDI S line edition 150,21900.0,Diésel,Manual,58568.0,2016,Málaga
Audi,A3 A3 Sportback 1.6TDI S Line Edition 116,28900.0,Diésel,Manual,8478.0,2020,Málaga
Ford,Puma PUMA ST-LINE 1.0 EcoBoost MHEV 92KW (125CV) Euro 6.2,22900.0,Gasolina,Manual,45.0,2021,Alicante
BMW,116 3-Puertas 3 Puertas,19900.0,Gasolina,Manual,30511.0,2018,Sevilla
BMW,118 5-Puertas 5 puertas,20000.0,Diésel,Manual,89965.0,2017,Sevilla
BMW,X3 xDrive20d,42400.0,Diésel,Automático,90540.0,2018,Sevilla
BMW,118 5-Puertas 5 puertas,21700.0,Diésel,Automático,37415.0,2018,Sevilla
MINI,Mini Cooper D,25200.0,Diésel,Automático,48509.0,2017,Sevilla
Opel, 1.2T XHL 74kW (100CV) GS-Line,20490.0,Gasolina,Manual,150.0,2020,Orense
Opel, 1.2T XHL 74kW (100CV) Elegance,18490.0,Gasolina,Manual,3695.0,2020,Orense
Opel, 1.2 XEL 55kW (75CV) Elegance,18990.0,Gasolina,Manual,5011.0,2020,Orense
Opel,Astra 1.5D DVC 77kW (105CV) 2020,21990.0,Diésel,Manual,5.0,2020,Orense
Opel,Astra 1.5D DVC 77kW (105CV) 2020,21990.0,Diésel,Manual,5.0,2020,Orense
Opel,Astra 1.4T SHT 107kW (145CV) Elegance CVT,24990.0,Gasolina,Automático,5.0,2020,Orense
Opel,Astra 1.4T SHT 107kW (145CV) Elegance CVT,24990.0,Gasolina,Automático,5.0,2020,Orense
Opel,Astra 1.2T SHR 107kW (145CV) Elegance,23690.0,Gasolina,Manual,6.0,2020,Orense
Opel, 1.2T XHL 74kW (100CV) GS-Line,20490.0,Gasolina,Manual,150.0,2020,La Coruña
Opel, 1.2T XHL 74kW (100CV) Elegance,18490.0,Gasolina,Manual,3695.0,2020,La Coruña
Opel, 1.2 XEL 55kW (75CV) Elegance,18990.0,Gasolina,Manual,5011.0,2020,La Coruña
Opel,Astra 1.5D DVC 77kW (105CV) 2020,21990.0,Diésel,Manual,5.0,2020,La Coruña
Opel,Astra 1.5D DVC 77kW (105CV) 2020,21990.0,Diésel,Manual,5.0,2020,La Coruña
Opel,Astra 1.4T SHT 107kW (145CV) Elegance CVT,24990.0,Gasolina,Automático,5.0,2020,La Coruña
Opel,Astra 1.4T SHT 107kW (145CV) Elegance CVT,24990.0,Gasolina,Automático,5.0,2020,La Coruña
Opel,Astra 1.2T SHR 107kW (145CV) Elegance,23690.0,Gasolina,Manual,6.0,2020,La Coruña
Kia,Rio 1.0 T-GDi 74kW (100CV) Drive,14990.0,Gasolina,Manual,3832.0,2020,Barcelona
Ford,Focus Active 1.0 Ecoboost 92kW,22990.0,Gasolina,Manual,10.0,2021,Albacete
Ford,Focus Trend+ 1.0 Ecoboost 92kW ( 125cv ),15990.0,Gasolina,Manual,11774.0,2019,Albacete
Hyundai,i30 N N Line I30 5P TGDI 1.0 120CV N-LINE MY19,17500.0,Gasolina,Manual,16750.0,2019,Ávila
Ford,Puma TITANIUM 1.0 EcoBoost 92kW (125cv) Titanium,18500.0,Gasolina,Manual,6723.0,2020,Ávila
Ford,Ka+ Ultimate 1.2 Ti-VCT,8500.0,Gasolina,Manual,32699.0,2017,Ávila
Ford,Focus ST-Line 1.5 Ecoblue 88kW   Auto,22900.0,Diésel,Automático,26442.0,2019,Ávila
Jeep,Compass Limited 1.6D 120CV,21500.0,Diésel,Manual,21983.0,2018,Madrid
BMW,X1 sDrive16d 1.5d 116cv,23900.0,Diésel,Manual,54838.0,2019,Madrid
Opel,Corsa Elegance 1.2T XHL 74kW (100CV),16200.0,Gasolina,Manual,7.0,2021,Sevilla
Opel,Combo Life Elegance Plus 1.5 TD 75kW (100CV) S/S   L,23100.0,Diésel,Manual,7.0,2021,Sevilla
Opel,Zafira Tourer Expression 1.6 CDTi S/S 120 CV,11200.0,Diésel,Manual,58000.0,2016,Sevilla
Opel, Edition 1.2T XHL 74kW (100CV),15900.0,Gasolina,Manual,3.0,2021,Madrid
Opel,Astra GS Line 1.5D DVC 77kW (105CV),18800.0,Diésel,Manual,7.0,2020,Sevilla
Ford,EcoSport Trend 1.0i EcoBoost 125CV,15900.0,Gasolina,Manual,27150.0,2019,Alicante
Ford,Fiesta Trend+ 1.1 Ti-VCT 85CV,10900.0,Gasolina,Manual,39011.0,2017,Alicante
Peugeot,3008 1.5L BlueHDi 96kW (130CV) S&S GT Line,20900.0,Diésel,Manual,112000.0,2018,Lugo
Kia,Rio 1.0 T-GDi 74kW (100CV) Drive,14990.0,Gasolina,Manual,3832.0,2020,Barcelona
Mercedes-Benz,A 180 d,28900.0,Diésel,Automático,7865.0,2019,Barcelona
Seat, 1.4 e-Hybrid S&S FR DSG-6 150 kW (204 CV),29600.0,Híbrido,Automático,10.0,2020,Sevilla
Seat, 1.5 TSI S&S Style 96 kW (130 CV),21800.0,Gasolina,Manual,7.0,2020,Sevilla
Seat,Arona 1.0 TSI Ecomotive FR 85 kW (115 CV),18690.0,Gasolina,Manual,14304.0,2019,Sevilla
Seat,Arona 1.0 TSI Ecomotive FR 85 kW (115 CV),18690.0,Gasolina,Manual,9612.0,2019,Sevilla
Seat,Arona 1.0 TSI Ecomotive S&S Xcellence DSG 85 kW (115 CV),18390.0,Gasolina,Automático,38056.0,2019,Sevilla
Skoda,Karoq 1.5 TSI Style 110 kW (150 CV),30600.0,Gasolina,Manual,2938.0,2019,Sevilla
Audi,A3 Advanced 35 TFSI 110 kW (150 CV),31000.0,Gasolina,Manual,500.0,2021,Sevilla
Audi,A3 S line 35 TDI 110 kW (150 CV),29900.0,Diésel,Manual,4853.0,2020,Sevilla
Skoda,Scala 1.6 TDI Ambition 85 kW (115 CV),20990.0,Diésel,Manual,50.0,2020,Cádiz
Audi,A1 Adrenalin 1.0 TFSI 70 kW (95 CV),17790.0,Gasolina,Manual,53989.0,2018,Cádiz
Mercedes-Benz,C 220 d Sportive Avantgarde 4Matic 125 kW (170 CV),28990.0,Diésel,Automático,65150.0,2017,Cádiz
Audi,A6 Advanced edition 2.0 TDI S tronic 140 kW (190 CV),31900.0,Diésel,Automático,21015.0,2018,Madrid
Seat, 2.0 TDI S&S FR DSG-7 110 kW (150 CV),29900.0,Diésel,Automático,9.0,2021,Burgos
Seat,Ibiza 1.0 TSI S&S Style 70 kW (95 CV),16500.0,Gasolina,Manual,11.0,2021,Burgos
Volkswagen,Arteon R-Line 2.0 TDI 140 kW (190 CV) DSG,37900.0,Diésel,Automático,7118.0,2019,Burgos
Seat, 1.6 TDI S&S Style Visio Edition 85 kW (115 CV),19900.0,Diésel,Manual,11.0,2021,Burgos
Volkswagen,Tiguan Sport 2.0 TDI 110 kW (150 CV) DSG,35900.0,Diésel,Automático,5720.0,2019,Burgos
Audi,Q5 Advanced 50 TFSI E quattro-ultra 220 kW (299 CV),51950.0,Híbrido,Automático,5650.0,2020,Almería
Audi,e-tron edition One 55 quattro 300 kW (408 CV),85900.0,Eléctrico,Automático,20500.0,2020,Almería
Volkswagen,T-Cross Advance 1.6 TDI 70 kW (95 CV),18000.0,Diésel,Manual,20000.0,2019,Asturias
Volkswagen,Golf 1.5 TSI EVO Sport  DSG 96 kW (130 CV),22400.0,Gasolina,Automático,15000.0,2019,Asturias
Volkswagen,Golf 1.6 TDI CR Sport R-Line 85 kW (115 CV),19900.0,Diésel,Manual,25000.0,2019,Asturias
BMW,X1 sDrive18d 110 kW (150 CV),26400.0,Diésel,Automático,75781.0,2018,Toledo
Ford,Focus 1.5 Ecoblue ST-Line Auto 88 kW (120 CV),18900.0,Diésel,Automático,34150.0,2018,Asturias
Volkswagen,Caravelle Batalla Corta 2.0 TDI BMT 110 kW (150 CV) DSG,29500.0,Diésel,Automático,17905.0,2020,Asturias
Audi,Q2 sport 30 TDI 85 kW (116 CV) S tronic,30900.0,Diésel,Automático,22728.0,2019,Almería
Audi,A3 S line 40 e-tron 150 kW (204 CV) S tronic,35800.0,Híbrido,Automático,1900.0,2020,Almería
Audi,A6 sport 40 TDI 150 kW (204 CV) S tronic,53800.0,Híbrido,Automático,5000.0,2021,Asturias
Audi,A4 S line 35 TDI 110 kW (150 CV) S tronic,32500.0,Diésel,Automático,27476.0,2019,Almería
Volkswagen,Tiguan R-Line 2.0 TDI 110 kW (150 CV) DSG,37000.0,Diésel,Automático,2500.0,2021,Almería
Volkswagen,Caddy Maxi Trendline 2.0 TDI BMT 75 kW (102 CV),20950.0,Diésel,Manual,19460.0,2019,Almería
Volkswagen,Crafter Batalla Media TN 2.0 TDI 103 kW (140 CV) 3.000,24900.0,Diésel,Manual,12500.0,2019,Almería
Volkswagen,Crafter Batalla Media TN 2.0 TDI 103 kW (140 CV) 3.500,22900.0,Diésel,Manual,19450.0,2018,Almería
Volkswagen,Golf Advance 1.6 TDI 85 kW (115 CV) DSG,15500.0,Diésel,Automático,114473.0,2017,Madrid
Seat, 2.0 TDI S&S Xcellence Launch Pack L DSG 110 kW (150 CV),26500.0,Diésel,Automático,7500.0,2020,Tarragona
Seat, 1.5 TSI S&S Style 96 kW (130 CV),21850.0,Gasolina,Manual,7134.0,2020,Tarragona
Seat,Tarraco 1.5 TSI S&S Style 110 kW (150 CV),25400.0,Gasolina,Manual,26052.0,2019,Tarragona
Seat, 1.5 EcoTSI S&S Style 96 kW (130 CV),17900.0,Gasolina,Manual,19776.0,2019,Tarragona
Seat, 1.6 TDI S&S Style 85 kW (115 CV),18200.0,Diésel,Manual,10736.0,2019,Tarragona
Audi,A4 design edition 2.0 TDI 110 kW (150 CV) S tronic,23500.0,Diésel,Automático,66728.0,2016,Cáceres
Renault,Clio Zen E-Tech Híbrido 103 kW (140 CV),20900.0,Híbrido,Automático,2372.0,2020,Barcelona
Volkswagen,Caravelle Origin Batalla Corta 2.0 TDI BMT 81 kW (110 CV),30369.0,Diésel,Manual,6188.0,2020,Valencia
Renault,Captur Zen Blue dCi 85 kW (115 CV),21800.0,Diésel,Manual,23.0,2020,Barcelona
Volkswagen,Multivan 2.0 TDI BMT Outdoor Corto 110 kW (150 CV),37896.0,Diésel,Manual,16111.0,2020,Valencia
Peugeot,Rifter BlueHDi 100 Active Standard 73 kW (100 CV),17900.0,Diésel,Manual,2211.0,2020,Barcelona
Peugeot,208 Eléctrico Allure 100 kW (136 CV),25900.0,Eléctrico,Automático,10000.0,2020,Barcelona
Peugeot,108 1.2 PureTech Allure 60 kW (82 CV),8500.0,Gasolina,Manual,50986.0,2016,Barcelona
Seat,Ateca 1.5 TSI X-Perience Go 110 kW (150 CV),26500.0,Gasolina,Manual,501.0,2020,Málaga
Skoda,Fabia 1.0 TSI Ambition 70 kW (95 CV),13500.0,Gasolina,Manual,25.0,2020,Barcelona
Ford,Tourneo 1.5 TDCi Trend 74 kW (100 CV),12900.0,Diésel,Manual,37283.0,2018,Barcelona
Mercedes-Benz,GLB 200 120 kW (163 CV),39900.0,Gasolina,Automático,12935.0,2020,Barcelona
Land Rover,Discovery 2.0D I4 R-Dynamic S AWD Aut. 110 kW (150 CV),51800.0,Híbrido,Automático,12020.0,2019,Barcelona
Ford,Focus 2.0 TDCI S&S ST 136 kW (185 CV),16890.0,Diésel,Manual,60500.0,2016,Barcelona
Seat, 1.4 e-Hybrid DSG S&S FR 150 kW (204 CV),30500.0,Híbrido,Automático,50.0,2020,Madrid
Seat, 1.4 e-Hybrid DSG S&S FR 150 kW (204 CV),30500.0,Híbrido,Automático,50.0,2020,Madrid
Volkswagen,Caddy Furgon 2.0 TDI BMT 55 kW (75 CV),9500.0,Diésel,Manual,60000.0,2016,Vizcaya
Citroen,C4 BlueHDi 130 S&S Shine EAT8 96 kW (130 CV),25300.0,Diésel,Automático,1000.0,2020,La Rioja
Toyota,Proace City Van Media 1.5D GX 100,15300.0,Diésel,Manual,15.0,2021,Madrid
Renault,Megane 1.7 BLUE DCI BOSE EDC 110KW 150 5P,28700.0,Diésel,Automático,53.0,2021,Alava
Volvo,XC40 1.5 T3 MOMENTUM PRO 5P,32900.0,Gasolina,Manual,1.0,2021,Madrid
Volvo,XC40 1.5 T3 MOMENTUM PRO AUTO 5P,34500.0,Gasolina,Automático,1.0,2021,Madrid
Volvo,XC40 1.5 T3 R-DESIGN AUTO 5P,39900.0,Gasolina,Automático,1.0,2021,Madrid
Volvo,XC40 1.5 T4 RECHARGE R-DESIGN DCT 5P,47900.0,Eléctrico,Automático,1.0,2021,Madrid
Volvo,XC40 1.5 T4 RECHARGE INSCRIPTION DCT 5P,45500.0,Eléctrico,Automático,1.0,2021,Madrid
Volvo,XC40 1.5 T5 RECHARGE INSCRIPTION DCT 5P,48500.0,Eléctrico,Automático,1.0,2021,Madrid
Volvo,XC60 2.0 B4 D MOMENTUM PRO AUTO 4WD 5P,49900.0,Diésel,Automático,1.0,2021,Madrid
Volvo,XC60 2.0 T8 BUSINESS PLUS AUTO 4WD 5P,54900.0,Eléctrico,Automático,1.0,2021,Madrid
Volvo,XC40 1.5 T3 MOMENTUM PRO AUTO 5P,37900.0,Gasolina,Automático,1.0,2021,Madrid
Volvo,XC40 1.5 T3 MOMENTUM PRO AUTO 5P,37900.0,Gasolina,Automático,1.0,2021,Madrid
Toyota,Auris hybrid 140H Feel!,15900.0,Híbrido,Automático,52200.0,2016,Madrid
Toyota,C-HR 2.0 VVT I-HYBRID ADVANCE LUXURY AUTO 184 5P,28620.0,Híbrido,Automático,11425.0,2020,Barcelona
BMW,118 5-Puertas i,20500.0,Gasolina,Automático,28888.0,2019,Murcia
